group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
i16 same input,i16 :: naive_midpoint,,,,1042200.0,ns,587343
i16 same input,i16 :: naive_midpoint,,,,1965100.0,ns,1174686
i16 same input,i16 :: naive_midpoint,,,,3523700.0,ns,1762029
i16 same input,i16 :: naive_midpoint,,,,7504700.0,ns,2349372
i16 same input,i16 :: naive_midpoint,,,,8462900.0,ns,2936715
i16 same input,i16 :: naive_midpoint,,,,5650400.0,ns,3524058
i16 same input,i16 :: naive_midpoint,,,,6348700.0,ns,4111401
i16 same input,i16 :: naive_midpoint,,,,11367400.0,ns,4698744
i16 same input,i16 :: naive_midpoint,,,,11849100.0,ns,5286087
i16 same input,i16 :: naive_midpoint,,,,9070000.0,ns,5873430
i16 same input,i16 :: naive_midpoint,,,,10114200.0,ns,6460773
i16 same input,i16 :: naive_midpoint,,,,10927800.0,ns,7048116
i16 same input,i16 :: naive_midpoint,,,,11810800.0,ns,7635459
i16 same input,i16 :: naive_midpoint,,,,12378000.0,ns,8222802
i16 same input,i16 :: naive_midpoint,,,,14265700.0,ns,8810145
i16 same input,i16 :: naive_midpoint,,,,14535700.0,ns,9397488
i16 same input,i16 :: naive_midpoint,,,,15756300.0,ns,9984831
i16 same input,i16 :: naive_midpoint,,,,16427900.0,ns,10572174
i16 same input,i16 :: naive_midpoint,,,,17419100.0,ns,11159517
i16 same input,i16 :: naive_midpoint,,,,18166400.0,ns,11746860
i16 same input,i16 :: naive_midpoint,,,,19176800.0,ns,12334203
i16 same input,i16 :: naive_midpoint,,,,20454500.0,ns,12921546
i16 same input,i16 :: naive_midpoint,,,,19676100.0,ns,13508889
i16 same input,i16 :: naive_midpoint,,,,20410500.0,ns,14096232
i16 same input,i16 :: naive_midpoint,,,,21848500.0,ns,14683575
i16 same input,i16 :: naive_midpoint,,,,21961100.0,ns,15270918
i16 same input,i16 :: naive_midpoint,,,,24631100.0,ns,15858261
i16 same input,i16 :: naive_midpoint,,,,34289200.0,ns,16445604
i16 same input,i16 :: naive_midpoint,,,,29441400.0,ns,17032947
i16 same input,i16 :: naive_midpoint,,,,34157700.0,ns,17620290
i16 same input,i16 :: naive_midpoint,,,,40108800.0,ns,18207633
i16 same input,i16 :: naive_midpoint,,,,29313000.0,ns,18794976
i16 same input,i16 :: naive_midpoint,,,,30184800.0,ns,19382319
i16 same input,i16 :: naive_midpoint,,,,32762900.0,ns,19969662
i16 same input,i16 :: naive_midpoint,,,,29853400.0,ns,20557005
i16 same input,i16 :: naive_midpoint,,,,31415800.0,ns,21144348
i16 same input,i16 :: naive_midpoint,,,,36251200.0,ns,21731691
i16 same input,i16 :: naive_midpoint,,,,32763200.0,ns,22319034
i16 same input,i16 :: naive_midpoint,,,,34675400.0,ns,22906377
i16 same input,i16 :: naive_midpoint,,,,33978700.0,ns,23493720
i16 same input,i16 :: naive_midpoint,,,,34474100.0,ns,24081063
i16 same input,i16 :: naive_midpoint,,,,35858700.0,ns,24668406
i16 same input,i16 :: naive_midpoint,,,,38974300.0,ns,25255749
i16 same input,i16 :: naive_midpoint,,,,42596900.0,ns,25843092
i16 same input,i16 :: naive_midpoint,,,,40148100.0,ns,26430435
i16 same input,i16 :: naive_midpoint,,,,41761100.0,ns,27017778
i16 same input,i16 :: naive_midpoint,,,,42153000.0,ns,27605121
i16 same input,i16 :: naive_midpoint,,,,43235500.0,ns,28192464
i16 same input,i16 :: naive_midpoint,,,,62231800.0,ns,28779807
i16 same input,i16 :: naive_midpoint,,,,45220300.0,ns,29367150
i16 same input,i16 :: naive_midpoint,,,,55435600.0,ns,29954493
i16 same input,i16 :: naive_midpoint,,,,48387400.0,ns,30541836
i16 same input,i16 :: naive_midpoint,,,,49305300.0,ns,31129179
i16 same input,i16 :: naive_midpoint,,,,50436200.0,ns,31716522
i16 same input,i16 :: naive_midpoint,,,,50255500.0,ns,32303865
i16 same input,i16 :: naive_midpoint,,,,50844300.0,ns,32891208
i16 same input,i16 :: naive_midpoint,,,,52249300.0,ns,33478551
i16 same input,i16 :: naive_midpoint,,,,50818400.0,ns,34065894
i16 same input,i16 :: naive_midpoint,,,,54858000.0,ns,34653237
i16 same input,i16 :: naive_midpoint,,,,53907900.0,ns,35240580
i16 same input,i16 :: naive_midpoint,,,,60134400.0,ns,35827923
i16 same input,i16 :: naive_midpoint,,,,60715800.0,ns,36415266
i16 same input,i16 :: naive_midpoint,,,,53953100.0,ns,37002609
i16 same input,i16 :: naive_midpoint,,,,57919300.0,ns,37589952
i16 same input,i16 :: naive_midpoint,,,,61585800.0,ns,38177295
i16 same input,i16 :: naive_midpoint,,,,64711800.0,ns,38764638
i16 same input,i16 :: naive_midpoint,,,,78668500.0,ns,39351981
i16 same input,i16 :: naive_midpoint,,,,61723500.0,ns,39939324
i16 same input,i16 :: naive_midpoint,,,,65789900.0,ns,40526667
i16 same input,i16 :: naive_midpoint,,,,63995000.0,ns,41114010
i16 same input,i16 :: naive_midpoint,,,,82000600.0,ns,41701353
i16 same input,i16 :: naive_midpoint,,,,65635900.0,ns,42288696
i16 same input,i16 :: naive_midpoint,,,,63872100.0,ns,42876039
i16 same input,i16 :: naive_midpoint,,,,66817000.0,ns,43463382
i16 same input,i16 :: naive_midpoint,,,,70478700.0,ns,44050725
i16 same input,i16 :: naive_midpoint,,,,67421300.0,ns,44638068
i16 same input,i16 :: naive_midpoint,,,,73047400.0,ns,45225411
i16 same input,i16 :: naive_midpoint,,,,74576700.0,ns,45812754
i16 same input,i16 :: naive_midpoint,,,,68532800.0,ns,46400097
i16 same input,i16 :: naive_midpoint,,,,74850800.0,ns,46987440
i16 same input,i16 :: naive_midpoint,,,,74560800.0,ns,47574783
i16 same input,i16 :: naive_midpoint,,,,87420100.0,ns,48162126
i16 same input,i16 :: naive_midpoint,,,,87260200.0,ns,48749469
i16 same input,i16 :: naive_midpoint,,,,76856200.0,ns,49336812
i16 same input,i16 :: naive_midpoint,,,,77323600.0,ns,49924155
i16 same input,i16 :: naive_midpoint,,,,74292300.0,ns,50511498
i16 same input,i16 :: naive_midpoint,,,,74635100.0,ns,51098841
i16 same input,i16 :: naive_midpoint,,,,83861200.0,ns,51686184
i16 same input,i16 :: naive_midpoint,,,,81186200.0,ns,52273527
i16 same input,i16 :: naive_midpoint,,,,79710700.0,ns,52860870
i16 same input,i16 :: naive_midpoint,,,,86548700.0,ns,53448213
i16 same input,i16 :: naive_midpoint,,,,85799800.0,ns,54035556
i16 same input,i16 :: naive_midpoint,,,,89079300.0,ns,54622899
i16 same input,i16 :: naive_midpoint,,,,90953000.0,ns,55210242
i16 same input,i16 :: naive_midpoint,,,,91368700.0,ns,55797585
i16 same input,i16 :: naive_midpoint,,,,90359300.0,ns,56384928
i16 same input,i16 :: naive_midpoint,,,,103949100.0,ns,56972271
i16 same input,i16 :: naive_midpoint,,,,93402800.0,ns,57559614
i16 same input,i16 :: naive_midpoint,,,,85978400.0,ns,58146957
i16 same input,i16 :: naive_midpoint,,,,86521300.0,ns,58734300
