group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,1705800.0,ns,439993
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,2153000.0,ns,879986
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,2868900.0,ns,1319979
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,3798700.0,ns,1759972
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,5365000.0,ns,2199965
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,5837800.0,ns,2639958
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,6677400.0,ns,3079951
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,7551800.0,ns,3519944
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,7837400.0,ns,3959937
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,9336400.0,ns,4399930
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,10494000.0,ns,4839923
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,11430400.0,ns,5279916
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,13661000.0,ns,5719909
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,13368100.0,ns,6159902
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,14580900.0,ns,6599895
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,15467000.0,ns,7039888
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,16316100.0,ns,7479881
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,17122900.0,ns,7919874
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,18340000.0,ns,8359867
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,20022600.0,ns,8799860
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,20428400.0,ns,9239853
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,20318700.0,ns,9679846
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,20484600.0,ns,10119839
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,21477700.0,ns,10559832
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,22377800.0,ns,10999825
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,23254400.0,ns,11439818
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,31880600.0,ns,11879811
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,25874600.0,ns,12319804
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,25856700.0,ns,12759797
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,27112000.0,ns,13199790
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,27583100.0,ns,13639783
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,28419700.0,ns,14079776
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,29410100.0,ns,14519769
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,30470900.0,ns,14959762
i16 same input,i16 :: midpoint_via_bitwise_ops,,,,31257800.0,ns,15399755
